feature,coefficient,robust_se,train_sd,standardized_coefficient,absolute_standardized_coefficient,p_value,ci_low,ci_high
rdkit_mollogp,-0.692348601251933,0.011574351170442806,2.152786621846783,-1.490478806429494,1.490478806429494,0.0,-0.7150339126904199,-0.669663289813446
rdkit_molwt,-0.005323844181406827,0.00038865656953356915,112.09232032774872,-0.5967620473572752,0.5967620473572752,1.042614826827557e-42,-0.00608559706004751,-0.0045620913027661445
rdkit_fraction_csp3,0.7042075121402335,0.08930714153050083,0.34414508160271085,0.24234955173074263,0.24234955173074263,3.1395219551809282e-15,0.5291687311782305,0.8792462931022365
rdkit_ring_count,-0.08407816915708141,0.03334464722437859,1.3120725743989585,-0.11031665985668292,0.11031665985668292,0.01168592496954557,-0.1494324767940569,-0.018723861520105897
rdkit_rotatable_bonds,0.029516756273170082,0.00912196120702447,3.598479447109982,0.10621544079435717,0.10621544079435717,0.001213063403796966,0.0116380408390306,0.04739547170730957
rdkit_aromatic_rings,0.0473070094425758,0.04478879058982441,1.0325191461567216,0.04884539299687633,0.04884539299687633,0.2908657467312016,-0.04047740702458654,0.13509142590973813
