feature,mean_importance,std_importance,ci_approx_low,ci_approx_high,importance_rank
rdkit_mollogp,0.8275647746503374,0.0290279475944533,0.7706699973652089,0.8844595519354659,1
rdkit_molwt,0.13865673043803953,0.009849122486723549,0.11935245036406138,0.1579610105120177,2
rdkit_fraction_csp3,0.021784216242501698,0.0032852751576597622,0.015345076933488563,0.028223355551514832,3
rdkit_ring_count,0.007680642274720794,0.0019171902423345902,0.003922949399744998,0.011438335149696591,4
rdkit_rotatable_bonds,0.006959999595625865,0.0013938980832808724,0.004227959352395356,0.009692039838856375,5
rdkit_aromatic_rings,-9.044887256616896e-05,0.0007265077907280627,-0.001514404142393172,0.001333506397260834,6
