solubility_region,compound_count,mean_residual,median_residual,mean_absolute_error,median_absolute_error,rmse,underprediction_pct,overprediction_pct
< -6,776.0,-1.199188618393355,-1.0389268069860593,1.350641810549055,1.091877597087245,1.7376784424031182,14.432989690721648,85.56701030927834
-6 to < -4,1457.0,-0.39150714580172197,-0.4240556545211511,0.8540274887536594,0.6878340938074783,1.1105263996219858,30.542210020590254,69.45778997940974
-4 to < -2,2862.0,-0.03628686525677694,-0.12020480973783931,0.7066694509094531,0.5623165560408407,0.9171871539238754,43.50104821802935,56.49895178197065
-2 to < 0,2368.0,0.39137271660453565,0.29036147436382365,0.730508163485702,0.5460681592416016,0.9868082860682154,65.7516891891892,34.248310810810814
0 to < 2,697.0,1.034132444928568,0.8411575353336026,1.06925748962163,0.8411575353336026,1.3888921457269796,92.25251076040172,7.747489239598278
