model,predictor,coefficient,robust_se,p_value,ci_low,ci_high
M3_plus_tpsa,rdkit_tpsa,-0.004205297597546865,0.0008800477535854922,1.7661833404799977e-06,-0.00593015949924981,-0.0024804356958439194
M3_plus_hbd,rdkit_hbd,0.02549803032173448,0.017324950416675935,0.14108786146331354,-0.008458248528892553,0.05945430917236151
M3_plus_hba,rdkit_hba,-0.0056216531519089645,0.014404678364677246,0.6963400188026124,-0.03385430395555969,0.02261099765174176
M3_plus_rotatable_bonds,rdkit_rotatable_bonds,0.05759072662506234,0.007054599273606701,3.2526087267920807e-16,0.04376396612343078,0.0714174871266939
M3_plus_fraction_csp3,rdkit_fraction_csp3,0.8396279272529672,0.06802327805999653,5.297743859349096e-35,0.7063047521450203,0.9729511023609141
M3_plus_bertz_ct,rdkit_bertz_ct,-0.00011918701050897399,0.00025466002540794477,0.6397674078645452,-0.0006183114886106008,0.00037993746759265286
