rdkit_ring_count,n,mean_residual,median_residual,mean_residual_ci_low,mean_residual_ci_high,median_residual_ci_low,median_residual_ci_high,mean_abs_residual,median_abs_residual,mean_abs_residual_ci_low,mean_abs_residual_ci_high,median_abs_residual_ci_low,median_abs_residual_ci_high,feature_type,rdkit_aromatic_rings
0.0,2198,0.40158252658426274,0.5012311919467911,0.34857128775773083,0.4581765322709812,0.4480771721439985,0.5599320680734747,1.0235671255574186,0.8491925808123664,0.9886446177308678,1.0612617698975457,0.8073537094425078,0.8780239017514222,total_ring_count,
1.0,2712,0.11393809661890604,0.0711417057784037,0.07621492105615203,0.15418971421610148,0.03062056128164791,0.10594605324156905,0.80726564931099,0.6380066000767057,0.7820390895770193,0.8325029982333957,0.6020222319346034,0.6669415970291532,total_ring_count,
2.0,2191,-0.37687848503467647,-0.4963859567467441,-0.42584880647758766,-0.32835496202639,-0.5443127002882768,-0.4388189265963356,0.9631807775911421,0.8219593325575976,0.9314158628915009,0.9925070912985768,0.7784134884207461,0.8485414921937098,total_ring_count,
3.0,821,-0.3714645065043025,-0.4121829181294276,-0.47798017464602865,-0.2661445139846924,-0.482197160568157,-0.3053221451997947,1.2213751939438056,0.9288086207492778,1.1516580310516675,1.2956900237390632,0.8723146552618073,1.010693540871467,total_ring_count,
4.0,475,-0.240845944307414,-0.1856407735784606,-0.3798228776245784,-0.09733410689583015,-0.28081591286568075,-0.0455534287698475,1.1231521961063926,0.8027816558973382,1.0311717674439853,1.2224188404199745,0.6917008680274863,0.9004984521752963,total_ring_count,
5.0,144,-0.22216228921860023,-0.081050642337761,-0.5063428511330191,0.08386468669116653,-0.4508507444343264,0.5039328319321741,1.444044464988276,1.1937235184152994,1.282168808469394,1.627750817922202,1.0030245630293415,1.3864062880606318,total_ring_count,
6.0,44,0.26939002981744825,0.5117783701891283,-0.24226912053505234,0.8306157888540081,-0.6393599549578397,1.014620867736122,1.5535009214303164,1.3318752587100464,1.245607320870968,1.898699097571105,1.0504246827265873,1.7587022680556466,total_ring_count,
7.0,29,1.1017540034978412,0.8765789666089505,0.35962569116303295,1.8295559920806637,0.2716371966786575,2.536710188393981,1.8658171076211492,1.965683996188234,1.3522052453023794,2.3621255877674376,0.8521518050865957,2.664549180010444,total_ring_count,
8.0,17,1.1454475023850197,1.3455835358464885,0.43615370813633897,1.8470588768052687,0.0238211892437201,1.663708828058578,1.5334019313626197,1.3723239373676437,0.982483319081025,2.1244779313577364,0.368967164435765,2.446539443979584,total_ring_count,
9.0,8,2.7017643004886174,2.7493136358866694,1.7129123392545011,3.543330204504472,1.7021187427566211,3.9153765696778553,2.726584652951259,2.7493136358866694,1.7403764282679783,3.568944070800605,1.9204859149660682,3.8341326531414923,total_ring_count,
