feature,native_mean,native_sd,native_ci_low,native_ci_high,native_min,native_max,native_mean_rank,native_top_rank_fraction,permutation_mean,permutation_sd,permutation_ci_low,permutation_ci_high,permutation_min,permutation_max,permutation_mean_rank,permutation_top_rank_fraction,permutation_positive_fraction
rdkit_mollogp,0.8433143534547174,0.010801585212016889,0.8366194615790856,0.8500092453303492,0.8223161976823289,0.8580902568898896,1.0,1.0,1.5292023505267198,0.21943372123694058,1.393195921033902,1.6652087800195376,1.039058629295638,1.7820635360046606,1.0,1.0,1.0
rdkit_molwt,0.08121537000811455,0.006969890396070773,0.07689538718422446,0.08553535283200463,0.06706536781335033,0.08958491830063194,2.0,0.0,0.20971368301921828,0.05964896140103595,0.17274287371343286,0.2466844923250037,0.1509802250195007,0.320963010000093,2.0,0.0,1.0
rdkit_fraction_csp3,0.024990284990507514,0.0033375785365863902,0.02292163238162781,0.02705893759938722,0.019801225898917713,0.029373744372114024,3.5,0.0,0.05174040879019276,0.01672048526569484,0.04137694465370802,0.0621038729266775,0.022331086059698357,0.07380660324295667,3.2,0.0,1.0
rdkit_rotatable_bonds,0.01097533312247952,0.002785236860373656,0.009249025431319443,0.012701640813639597,0.0065811460638947675,0.01621247989368742,5.4,0.0,0.03496095548805099,0.021605037726232908,0.021570014370893766,0.048351896605208215,0.006227831063300904,0.06426974639028449,4.2,0.0,1.0
rdkit_ring_count,0.02486900458175819,0.0115708279954587,0.017697331089338967,0.03204067807417742,0.012527133153006163,0.04517394472081418,4.2,0.0,0.019681030274824155,0.01779561145377316,0.008651196023160689,0.030710864526487622,0.0006147304513337781,0.061256525019832475,4.8,0.0,1.0
rdkit_aromatic_rings,0.014635653842422807,0.010116773268448826,0.008365212806861151,0.020906094877984463,0.0018927246266543507,0.030521722633729917,4.9,0.0,0.006176500753165577,0.008559490915873194,0.0008712733196523008,0.011481728186678853,-0.0024932217750142983,0.021423275446471757,5.8,0.0,0.7
