,rdkit_molwt,rdkit_mollogp,rdkit_tpsa,rdkit_hbd,rdkit_hba,rdkit_rotatable_bonds,rdkit_heavy_atom_count,rdkit_heteroatom_count,rdkit_aromatic_rings,rdkit_saturated_rings,rdkit_aliphatic_rings,rdkit_ring_count,rdkit_fraction_csp3,rdkit_molmr,rdkit_labute_asa,rdkit_balaban_j,rdkit_bertz_ct
rdkit_molwt,1.0,0.5185002337501773,0.3913723792403581,0.09348857364192203,0.5156617628309509,0.48010863942822635,0.9432281713220716,0.6576570177802125,0.47372749030253947,0.18543097793918079,0.24861320015574906,0.5904786864018106,-0.14615895703355583,0.9419956746847115,0.9741637241050042,-0.42422175883349367,0.8315225697615747
rdkit_mollogp,0.5185002337501773,1.0,-0.39790918957283783,-0.4033750907598335,-0.22683087921812817,0.19224520674027173,0.4793062472226925,-0.1059636474853337,0.33989184615165513,-0.031377343364116995,0.03300925885965656,0.3379289240232928,-0.12100056156402025,0.6074663264440417,0.5573491784916483,-0.2817716453997573,0.3798259187132905
rdkit_tpsa,0.3913723792403581,-0.39790918957283783,1.0,0.6453788955248687,0.8540512307144972,0.36865987851529003,0.4582017445110232,0.7525681617017326,0.18246069323097752,0.09256591253017982,0.11208012761889864,0.22207740134897133,-0.10291674757540697,0.3043142017885567,0.3709618813272594,-0.0761718512519467,0.46545856448495815
rdkit_hbd,0.09348857364192203,-0.4033750907598335,0.6453788955248687,1.0,0.3620699737605709,0.11961778387998333,0.1394998086715818,0.33505272452273127,0.06673311649823918,0.0536463798757486,0.04534400889615812,0.08483297521022985,-0.07988875873453284,0.062024255395837315,0.08551506986113275,-0.03169877425142715,0.16164309666199703
rdkit_hba,0.5156617628309509,-0.22683087921812817,0.8540512307144972,0.3620699737605709,1.0,0.4745770701743346,0.5722123884649479,0.7664158994266697,0.2088938226618329,0.15004520918177505,0.18758056859288935,0.2888865207838988,-0.0013944970894847607,0.4476323950419562,0.5039386665988173,-0.18248357351470756,0.517716701222097
rdkit_rotatable_bonds,0.48010863942822635,0.19224520674027173,0.36865987851529003,0.11961778387998333,0.4745770701743346,1.0,0.5177987695341244,0.343068999765876,-0.027341566636293956,-0.06620133686129899,-0.12555022667368915,-0.1209750265638926,0.3203034466584368,0.5083127683938427,0.5085590732859738,-0.04949908987770269,0.21136383795500183
rdkit_heavy_atom_count,0.9432281713220716,0.4793062472226925,0.4582017445110232,0.1394998086715818,0.5722123884649479,0.5177987695341244,1.0,0.5813809726339656,0.5131714553995619,0.22569540585726808,0.3043292994559176,0.6590989238986579,-0.13289413591562102,0.968258116491931,0.9849172829744781,-0.5053431726114483,0.879895499434944
rdkit_heteroatom_count,0.6576570177802125,-0.1059636474853337,0.7525681617017326,0.33505272452273127,0.7664158994266697,0.343068999765876,0.5813809726339656,1.0,0.31135100202157273,0.0639814023054812,0.08307810414990616,0.3105405168326819,-0.18686589785076146,0.47125798796171703,0.5699833603843735,-0.08977358187029759,0.5971392197936244
rdkit_aromatic_rings,0.47372749030253947,0.33989184615165513,0.18246069323097752,0.06673311649823918,0.2088938226618329,-0.027341566636293956,0.5131714553995619,0.31135100202157273,1.0,-0.21597628767033467,-0.11014266409634428,0.7409454565184874,-0.7400601292955039,0.511472642801989,0.4963980114708811,-0.4370538926539514,0.7802895657861847
rdkit_saturated_rings,0.18543097793918079,-0.031377343364116995,0.09256591253017982,0.0536463798757486,0.15004520918177505,-0.06620133686129899,0.22569540585726808,0.0639814023054812,-0.21597628767033467,1.0,0.8252717984199529,0.3746104370666844,0.34059506740144124,0.19192757199236868,0.2144368455876353,-0.469880500838706,0.11969557763385044
rdkit_aliphatic_rings,0.24861320015574906,0.03300925885965656,0.11208012761889864,0.04534400889615812,0.18758056859288935,-0.12555022667368915,0.3043292994559176,0.08307810414990616,-0.11014266409634428,0.8252717984199529,1.0,0.5106627981429697,0.23142740785095361,0.2695971841857916,0.28688895191079017,-0.5474717949828758,0.2428380537045672
rdkit_ring_count,0.5904786864018106,0.3379289240232928,0.22207740134897133,0.08483297521022985,0.2888865207838988,-0.1209750265638926,0.6590989238986579,0.3105405168326819,0.7409454565184874,0.3746104370666844,0.5106627981429697,1.0,-0.460613635049741,0.6376688855727979,0.6364223241237997,-0.7497617034561687,0.8429473122927014
rdkit_fraction_csp3,-0.14615895703355583,-0.12100056156402025,-0.10291674757540697,-0.07988875873453284,-0.0013944970894847607,0.3203034466584368,-0.13289413591562102,-0.18686589785076146,-0.7400601292955039,0.34059506740144124,0.23142740785095361,-0.460613635049741,1.0,-0.1198508378967339,-0.12738924943298408,0.10737709858849219,-0.4726534787920245
rdkit_molmr,0.9419956746847115,0.6074663264440417,0.3043142017885567,0.062024255395837315,0.4476323950419562,0.5083127683938427,0.968258116491931,0.47125798796171703,0.511472642801989,0.19192757199236868,0.2695971841857916,0.6376688855727979,-0.1198508378967339,1.0,0.985734694132589,-0.5032906756905219,0.8362537179186409
rdkit_labute_asa,0.9741637241050042,0.5573491784916483,0.3709618813272594,0.08551506986113275,0.5039386665988173,0.5085590732859738,0.9849172829744781,0.5699833603843735,0.4963980114708811,0.2144368455876353,0.28688895191079017,0.6364223241237997,-0.12738924943298408,0.985734694132589,1.0,-0.48631102702200574,0.8543869361833621
rdkit_balaban_j,-0.42422175883349367,-0.2817716453997573,-0.0761718512519467,-0.03169877425142715,-0.18248357351470756,-0.04949908987770269,-0.5053431726114483,-0.08977358187029759,-0.4370538926539514,-0.469880500838706,-0.5474717949828758,-0.7497617034561687,0.10737709858849219,-0.5032906756905219,-0.48631102702200574,1.0,-0.5291121542083105
rdkit_bertz_ct,0.8315225697615747,0.3798259187132905,0.46545856448495815,0.16164309666199703,0.517716701222097,0.21136383795500183,0.879895499434944,0.5971392197936244,0.7802895657861847,0.11969557763385044,0.2428380537045672,0.8429473122927014,-0.4726534787920245,0.8362537179186409,0.8543869361833621,-0.5291121542083105,1.0
