model,n,predictors,r_squared,adjusted_r_squared,rmse,aic,bic,delta_r_squared_vs_baseline
M0_baseline,8643,"rdkit_molwt, rdkit_mollogp",0.6805904923916393,0.6805165550056188,1.2931266318906045,28977.363047333583,28998.55656240484,0.0
M1_baseline_plus_ring_count,8643,"rdkit_molwt, rdkit_mollogp, rdkit_ring_count",0.6912825583119013,0.6911753523476619,1.2712990420546328,28685.089881950535,28713.347902045545,0.010692065920262062
M2_baseline_plus_aromatic_rings,8643,"rdkit_molwt, rdkit_mollogp, rdkit_aromatic_rings",0.693268681042032,0.6931621647835676,1.2672030148264501,28629.3058120323,28657.56383212731,0.012678188650392719
M3_baseline_plus_both_ring_features,8643,"rdkit_molwt, rdkit_mollogp, rdkit_ring_count, rdkit_aromatic_rings",0.6952226391567922,0.6950815058570268,1.2631603602954462,28576.07154301965,28611.394068138412,0.014632146765152898
