scaffold_frequency_region,compound_count,mean_residual,median_residual,mean_absolute_error,median_absolute_error,rmse,underprediction_pct,overprediction_pct
Singleton,1051.0,0.04189129396410599,-0.0224544523293692,1.0011974897818192,0.7493606044587096,1.3319145733270528,49.28639391056137,50.713606089438635
2–5 compounds,1043.0,0.007700162186909798,0.0009029855155351,0.8971268697982203,0.7186069190627483,1.177285076189998,50.143815915628,49.856184084372
6–20 compounds,921.0,-0.001903990825845308,0.022129511499540795,0.8675651006012052,0.6620354129184032,1.1462451637035742,51.248642779587406,48.751357220412594
>20 compounds,5145.0,-0.001475961944239957,-0.035142523074131626,0.7780428613001897,0.5803590044987702,1.0505166495785,48.37706511175899,51.62293488824101
