split,model,n_train,n_validation,n_train_final,n_test,validation_r_squared,validation_rmse,validation_mae,test_r_squared,test_rmse,test_mae,test_mean_error,delta_test_r_squared_vs_M0,test_rmse_change_vs_M0
random_80_20,M0_baseline,6914,,6914,1729,,,,0.6711453464941175,1.3272636798511206,1.0227012638739454,-0.012173481165704516,0.0,0.0
random_80_20,M3_ring_model,6914,,6914,1729,,,,0.6839024196849168,1.3012651535871704,1.0010418498784415,-0.011054317415332077,0.012757073190799328,-0.02599852626395016
random_80_20,M4_selective_model,6914,,6914,1729,,,,0.6944775920977546,1.2793128095156079,0.9787534549120491,-0.015173622845480012,0.023332245603637114,-0.04795087033551271
scaffold_70_15_15,M0_baseline,6054,1308.0,7362,1281,0.6193817824806702,1.413476846077029,1.0725311487972855,0.6743095714799254,1.3593743470841502,1.058087411977968,0.14770014985184612,0.0,0.0
scaffold_70_15_15,M3_ring_model,6054,1308.0,7362,1281,0.6461553050518227,1.3628569010572675,1.035276704246867,0.6946541857334174,1.3162323414376709,1.014220032511762,0.15059163065340272,0.020344614253491988,-0.0431420056464793
scaffold_70_15_15,M4_selective_model,6054,1308.0,7362,1281,0.6585732097249486,1.3387291219963595,1.0164767133858248,0.7009946899242531,1.302494873976906,1.0066788009634273,0.0831327733022628,0.026685118444327638,-0.05687947310724417
