feature,n,missing,missing_pct,unique_count,unique_pct,variance,std,mean,median,min,max,skewness,zero_count,zero_pct,low_variance_flag,spearman_rho_with_solubility,outlier_count,outlier_pct
rdkit_molwt,8643,0,0.0,5618,65.00057850283466,13235.290044100726,115.04473062292217,242.53711617514497,223.253,10.812,943.621,1.3218153792637806,0,0.0,False,-0.6411971516095119,203,2.3487215087353928
rdkit_mollogp,8643,0,0.0,7044,81.4994793474488,4.6916323594466185,2.166017626762677,2.3486585745690163,2.13962,-8.424200000000015,12.169199999999988,0.5194179937374739,1,0.011570056693277797,False,-0.7923634036604417,294,3.4015966678236724
rdkit_tpsa,8643,0,0.0,1785,20.65255119750087,1663.9068268286346,40.79101404511335,53.711826911951874,46.53,0.0,400.56000000000006,1.3734168547928634,823,9.522156658567626,False,0.11164738857236307,250,2.8925141733194493
rdkit_hbd,8643,0,0.0,14,0.16198079370588916,1.6511861128901757,1.2849848687397745,1.054263565891473,1.0,0.0,13.0,2.1590653205943777,3645,42.17285664699757,True,0.24903588440236257,101,1.1685757260210574
rdkit_hba,8643,0,0.0,20,0.2314011338655559,4.891081023251423,2.2115788530485236,3.005669327779706,3.0,0.0,20.0,1.3977192552166895,796,9.209765127849126,True,-0.01796196281225168,184,2.1288904315631147
rdkit_rotatable_bonds,8643,0,0.0,34,0.39338192757144513,14.197510908881911,3.7679584537096362,3.569593891010066,3.0,0.0,36.0,2.4268299536354228,1378,15.943538123336804,True,-0.1956718632727693,341,3.945389332407729
rdkit_heavy_atom_count,8643,0,0.0,65,0.7520536850630568,62.39659123262822,7.89915129824896,16.16371630220988,15.0,1.0,66.0,1.4370225333044666,0,0.0,True,-0.6153907576090828,243,2.8115237764665046
rdkit_heteroatom_count,8643,0,0.0,26,0.3008214740252227,8.834850547722093,2.9723476492029146,4.540205947009141,4.0,0.0,30.0,1.2715977711204252,294,3.4015966678236724,True,-0.1563076150412662,174,2.013189864630337
rdkit_aromatic_rings,8643,0,0.0,11,0.12727062362605576,1.1588497023394726,1.0764988166920912,1.037602684253153,1.0,0.0,11.0,1.4085720335706755,3312,38.320027768136065,True,-0.4510783287265726,31,0.3586717574916117
rdkit_saturated_rings,8643,0,0.0,9,0.10413051023950018,0.6139115726888076,0.7835250938475472,0.30718500520652553,0.0,0.0,13.0,3.674851674245563,7016,81.17551776003702,True,-0.02176536609646922,1627,18.824482239962975
rdkit_aliphatic_rings,8643,0,0.0,10,0.11570056693277796,0.9404092008539617,0.9697469777493312,0.4547032280458174,0.0,0.0,13.0,3.0361935640186393,6341,73.36572949207452,True,-0.10791599517085428,435,5.0329746615758415
rdkit_ring_count,8643,0,0.0,12,0.13884068031933355,1.8618651172376626,1.3645017835230786,1.4923059122989704,1.0,0.0,13.0,1.376784695023623,2198,25.4309846118246,True,-0.48176676108256744,102,1.1801457827143353
rdkit_fraction_csp3,8643,0,0.0,255,2.950364456785838,0.12004933943570024,0.3464813695362281,0.4378398338485191,0.3846153846153846,0.0,1.0,0.2957556553055562,1539,17.806317250954528,False,0.24274639277738277,0,0.0
rdkit_molmr,8643,0,0.0,7230,83.65150989239847,914.2981243547049,30.23736305226871,63.25063873654982,58.66150000000004,3.45,256.7097999999995,1.3878745771317293,0,0.0,False,-0.6904049170730101,211,2.4412819622816153
rdkit_labute_asa,8643,0,0.0,6833,79.05819738516719,2144.5005634706854,46.30875255792025,98.76708559909959,91.26106524982389,7.50422812385033,389.3008751199202,1.3852485244243251,0,0.0,False,-0.6665372637027074,195,2.2561610551891706
rdkit_balaban_j,8643,0,0.0,6297,72.85664699757028,0.5080790924862034,0.7127966698057753,2.6905115855519073,2.64865280205476,0.0,7.517309656819621,0.7427055626532707,9,0.10413051023950018,False,0.3452636418736617,188,2.1751706583362256
rdkit_bertz_ct,8643,0,0.0,6637,76.79046627328474,113564.24584402866,336.99294628230524,423.65229320868514,357.0681482751901,0.0,3655.2201959382014,1.9046612997449897,17,0.19669096378572257,False,-0.5740564892429049,195,2.2561610551891706
