repetition,seed,n_train,n_test,n_train_scaffolds,n_test_scaffolds,baseline_test_rmse,feature,native_importance,native_rank,permutation_importance,permutation_importance_sd,permutation_rank
1,100,6912,1731,1065,602,1.163561876000113,rdkit_molwt,0.07972485701235905,2,0.1707052573045082,0.007096185988173613,2
1,100,6912,1731,1065,602,1.163561876000113,rdkit_mollogp,0.8476616111802258,1,1.6315146291724112,0.03739908510309912,1
1,100,6912,1731,1065,602,1.163561876000113,rdkit_ring_count,0.021602091270740895,4,0.013252903194062315,0.0046524535766585,5
1,100,6912,1731,1065,602,1.163561876000113,rdkit_aromatic_rings,0.02002764041672022,5,0.007066203244179436,0.003251779726294936,6
1,100,6912,1731,1065,602,1.163561876000113,rdkit_rotatable_bonds,0.009203168880081243,6,0.058030510286026925,0.00978381091266729,4
1,100,6912,1731,1065,602,1.163561876000113,rdkit_fraction_csp3,0.021780631239872606,3,0.07380660324295667,0.005981844586321819,3
2,101,6813,1830,1145,522,1.1769695161119975,rdkit_molwt,0.06706536781335033,2,0.2191880546528912,0.010774238234401571,2
2,101,6813,1830,1145,522,1.1769695161119975,rdkit_mollogp,0.8524851065353525,1,1.441845125074749,0.029333859858746435,1
2,101,6813,1830,1145,522,1.1769695161119975,rdkit_ring_count,0.020257448036164947,5,0.029001814279581418,0.003263405228513571,4
2,101,6813,1830,1145,522,1.1769695161119975,rdkit_aromatic_rings,0.030521722633729917,3,0.01700049332097553,0.00273887454827608,6
2,101,6813,1830,1145,522,1.1769695161119975,rdkit_rotatable_bonds,0.008027200269139851,6,0.028093676353919884,0.004342208357804255,5
2,101,6813,1830,1145,522,1.1769695161119975,rdkit_fraction_csp3,0.021643154712262615,4,0.053189078653367215,0.005620838360654672,3
3,102,6103,2540,1344,323,0.9740609702865529,rdkit_molwt,0.08052111077235947,2,0.176519909980156,0.010827356995802116,2
3,102,6103,2540,1344,323,0.9740609702865529,rdkit_mollogp,0.8294419370038397,1,1.4113737654743865,0.026655721798314522,1
3,102,6103,2540,1344,323,0.9740609702865529,rdkit_ring_count,0.04517394472081418,3,0.03396304679031612,0.0022873686114165785,4
3,102,6103,2540,1344,323,0.9740609702865529,rdkit_aromatic_rings,0.0018927246266543507,6,0.0017358626790503595,0.0003745842913505769,6
3,102,6103,2540,1344,323,0.9740609702865529,rdkit_rotatable_bonds,0.013596538504218127,5,0.012817990221969389,0.0042043071939906335,5
3,102,6103,2540,1344,323,0.9740609702865529,rdkit_fraction_csp3,0.029373744372114024,4,0.04438400378454051,0.004116377030043878,3
4,103,6914,1729,1102,565,1.130517578038321,rdkit_molwt,0.07436485991099588,2,0.16546929369426108,0.011494778544284193,2
