analysis,group,compound_count,mean_residual,mean_absolute_error,rmse
Overall compound-level error,All Population C compounds,8160,0.0052342670788608206,0.8321102776964977,1.1179296359412978
Highest-error descriptor region,"rdkit_molwt: (321.374, 943.621]",1632,,1.102779243780741,
Highest-error descriptor region,"rdkit_mollogp: (3.735, 12.169]",1632,,1.0218063166822975,
Highest-error descriptor region,"rdkit_ring_count: (2.0, 13.0]",1440,,1.0688920178572663,
Highest-error descriptor region,"rdkit_aromatic_rings: (2.0, 11.0]",560,,1.2202030088132416,
Highest-error descriptor region,"rdkit_rotatable_bonds: (6.0, 36.0]",1237,,1.1053115614571285,
Highest-error descriptor region,"rdkit_fraction_csp3: (-0.001, 0.1]",1635,,0.9127763005147197,
Highest-error solubility region,< -6,776,-1.199188618393355,1.350641810549055,1.7376784424031182
Highest-error scaffold-frequency region,Singleton,1051,0.04189129396410599,1.0011974897818192,1.3319145733270528
