model,added_descriptor,n,r_squared,adjusted_r_squared,rmse,delta_r_squared_vs_M3,rmse_reduction_vs_M3,aic,bic
M3_plus_fraction_csp3,rdkit_fraction_csp3,8643,0.7029222418203214,0.7027502621061963,1.2471026596024348,0.007699602663529204,0.01605770069301138,28356.91766543051,28399.304695573024
M3_plus_rotatable_bonds,rdkit_rotatable_bonds,8643,0.6994026780822715,0.6992286608761134,1.2544682960889062,0.004180038925479357,0.008692064206540007,28458.71190793129,28501.098938073806
M3_plus_tpsa,rdkit_tpsa,8643,0.6964673020259595,0.69629158551677,1.2605784473158175,0.0012446628691673567,0.002581912979628731,28542.702618785483,28585.089648928
M3_plus_hbd,rdkit_hbd,8643,0.6953352246345526,0.6951588527604264,1.2629270315334495,0.00011258547776038519,0.00023332876199666508,28574.878208533763,28617.26523867628
M3_plus_bertz_ct,rdkit_bertz_ct,8643,0.6952427425439771,0.695066317131533,1.2631187000151471,2.010338718494431e-05,4.166028029906066e-05,28577.50142421003,28619.888454352546
M3_plus_hba,rdkit_hba,8643,0.695231335407962,0.695054903391873,1.2631423392093506,8.69625116983741e-06,1.8021086095609817e-05,28577.824927683876,28620.211957826392
