applicability_domain,compound_count,percentage,mean_knn_distance,median_knn_distance,mean_nearest_distance,median_nearest_distance,mean_absolute_error,median_absolute_error,rmse,mean_prediction_sd,median_prediction_sd,mean_prediction_range,mean_residual,high_error_pct,high_uncertainty_pct,high_error_high_uncertainty_pct
Borderline,408,5.0,0.6598843884686104,0.6496371982027277,0.4248728649492774,0.4636410076263347,1.0981239540517629,0.919207743677217,1.397063529286457,0.19850657272906552,0.1224222910322359,0.3706997705433491,-0.008141695952845036,39.21568627450981,43.38235294117647,18.872549019607842
In-domain,7344,90.0,0.22793078243867937,0.21873819218605733,0.12975220758372416,0.11633892623569228,0.7844807610090397,0.5961998046579033,1.0541422530598803,0.10660612675832801,0.08263630068606534,0.2009566982878821,0.005008912763370137,23.175381263616558,22.20860566448802,6.1002178649237475
Out-of-domain,408,5.0,1.1899512691095826,1.0415870159948302,0.8322312670211651,0.7764589563554821,1.2868548301888683,0.92042762488069,1.7440358078616458,0.22790646281858812,0.17698753867319666,0.4210835414352745,0.022666607789399416,43.627450980392155,57.107843137254896,23.03921568627451
