feature,mean_absolute_shap,sd_absolute_shap,ci_low_absolute_shap,ci_high_absolute_shap,mean_signed_shap,sd_signed_shap,ci_low_signed_shap,ci_high_signed_shap,mean_rank,top1_fraction,positive_signed_fraction,negative_signed_fraction,importance_rank
rdkit_mollogp,1.378225622864567,0.14030325555758247,1.291264764127634,1.4651864816015001,0.048213725074749456,0.38220486936120557,-0.1886793072429993,0.28510675739249824,1.0,1.0,0.5,0.5,1
rdkit_molwt,0.3709521452444112,0.10901502764603506,0.303383931081063,0.43852035940775946,0.01656791966684055,0.24355197817186272,-0.13438716034704828,0.16752299968072937,2.0,0.0,0.4,0.6,2
rdkit_fraction_csp3,0.21857923776575516,0.042706121635062204,0.19210970934355298,0.24504876618795735,-0.005085326540314958,0.15138110441303143,-0.0989123071330764,0.08874165405244648,3.2,0.0,0.3,0.7,3
rdkit_ring_count,0.14296171333925814,0.05946092693324025,0.10610744900405572,0.17981597767446056,-0.033454906823704986,0.10938362469240728,-0.10125157980330118,0.03434176615589121,4.1,0.0,0.6,0.4,4
rdkit_rotatable_bonds,0.07944753133794344,0.033357357338512916,0.05877242705883215,0.10012263561705473,0.01160079939600792,0.04280178696988406,-0.014928023015021556,0.0381296218070374,5.1,0.0,0.4,0.6,5
rdkit_aromatic_rings,0.05597167268353258,0.02860796612149343,0.038240271578437485,0.07370307378862767,-0.02393188717667643,0.031158130331483746,-0.04324389643473013,-0.004619877918622728,5.6,0.0,0.2,0.8,6
