feature,region,compound_count,mean_residual,median_residual,mean_absolute_error,median_absolute_error,rmse,underprediction_pct,overprediction_pct,feature_min,feature_max
rdkit_molwt,"(10.811, 146.186]",1640.0,-0.1102049330743588,-0.057852389826223594,0.6389846232954771,0.49144639818996005,0.9041626420439327,46.15853658536586,53.84146341463415,10.812,146.18599999999998
rdkit_molwt,"(146.186, 195.174]",1625.0,0.05501559102394862,0.0372711920099316,0.7028351130335667,0.5719949325221891,0.894989350994224,51.56923076923077,48.43076923076923,146.189,195.17400000000004
rdkit_molwt,"(195.174, 247.588]",1631.0,0.08422501806592683,0.060730476872954756,0.8342301482087184,0.6394003555828615,1.0907407659508503,52.05395462906193,47.94604537093807,195.215,247.55
rdkit_molwt,"(247.588, 321.374]",1632.0,0.02621112954899353,-0.02550576827062888,0.8821157644244512,0.6643670771403771,1.1747539917358827,48.95833333333333,51.041666666666664,247.64500000000004,321.3730000000001
rdkit_molwt,"(321.374, 943.621]",1632.0,-0.028247667707075954,-0.11126182605229037,1.1027792437807413,0.8417261398430047,1.4355181122052738,46.50735294117647,53.49264705882353,321.3760000000001,943.621
rdkit_mollogp,"(-8.424999999999999, 0.703]",1632.0,0.06870176464175246,0.17550118542224424,0.7989458190520514,0.6226097414585428,1.0832465218083387,57.720588235294116,42.279411764705884,-8.424200000000015,0.7026000000000001
rdkit_mollogp,"(0.703, 1.652]",1632.0,-0.03501337650678559,-0.06645125599219504,0.7163538693356244,0.5277628784559014,0.9580662406642776,46.50735294117647,53.49264705882353,0.7029999999999998,1.6513
rdkit_mollogp,"(1.652, 2.545]",1632.0,-0.025956582652530962,-0.06771258154619461,0.7572591126779482,0.5688942090214946,1.0245118763527408,46.568627450980394,53.431372549019606,1.6532000000000002,2.5452000000000004
rdkit_mollogp,"(2.545, 3.735]",1632.0,0.049746935371904326,-0.020504000568506153,0.8661862707345674,0.6648885102308475,1.1573767281101917,48.89705882352941,51.10294117647059,2.5454,3.734300000000003
rdkit_mollogp,"(3.735, 12.169]",1632.0,-0.03130740546003615,-0.11757643996656122,1.0218063166822973,0.7910772583432337,1.3298022148086164,45.52696078431372,54.47303921568627,3.735700000000003,12.169199999999988
rdkit_ring_count,"(-0.001, 1.0]",4850.0,0.014279178771531965,-0.0057883349556857,0.7645704666290546,0.5705789805778332,1.0359272644146262,49.75257731958763,50.24742268041237,0.0,1.0
rdkit_ring_count,"(1.0, 2.0]",1870.0,0.006969467789722647,-0.04132171335551692,0.8249457738706115,0.6662810107368722,1.0653632848367565,48.07486631016043,51.925133689839576,2.0,2.0
rdkit_ring_count,"(2.0, 13.0]",1440.0,-0.027482848920282757,-0.06653937672030974,1.068892017857266,0.7924785890125732,1.4119758975631373,47.91666666666667,52.083333333333336,3.0,13.0
rdkit_aromatic_rings,"(-0.001, 1.0]",5827.0,0.010328971925426566,-0.012899808347486738,0.7732654608053092,0.5811445802443731,1.0405354055535454,49.40792860820319,50.592071391796814,0.0,1.0
rdkit_aromatic_rings,"(1.0, 2.0]",1773.0,-0.0018454446682903709,-0.0344323398982338,0.902926306235459,0.7000022716844,1.1852099563863239,48.56175972927242,51.438240270727576,2.0,2.0
rdkit_aromatic_rings,"(2.0, 11.0]",560.0,-0.02536308330192415,-0.09901283306673117,1.2202030088132416,0.9967608664687294,1.5803190915044176,46.785714285714285,53.214285714285715,3.0,11.0
rdkit_rotatable_bonds,"(-0.001, 1.0]",2482.0,-0.014018938352065578,-0.012462613740899103,0.7695356305831693,0.5755522164037863,1.055351924815336,49.31506849315068,50.68493150684932,0.0,1.0
rdkit_rotatable_bonds,"(1.0, 2.0]",1370.0,-0.05695093898215025,-0.09942926200638674,0.7304775636306867,0.5611683459715063,0.9779432894900324,45.03649635036496,54.96350364963504,2.0,2.0
rdkit_rotatable_bonds,"(2.0, 4.0]",1955.0,-0.003096868262470778,0.016990024513742197,0.7854215022338475,0.6034755388246178,1.038446051821749,50.690537084398976,49.309462915601024,3.0,4.0
rdkit_rotatable_bonds,"(4.0, 6.0]",1116.0,0.0759467646154143,0.03921502660778199,0.875007822878418,0.6661577814163505,1.1506131995964044,51.52329749103942,48.47670250896057,5.0,6.0
rdkit_rotatable_bonds,"(6.0, 36.0]",1237.0,0.06210767898238065,-0.056909395643944274,1.1053115614571287,0.8684659405166091,1.4323312025619757,48.100242522231206,51.899757477768794,7.0,36.0
rdkit_fraction_csp3,"(-0.001, 0.1]",1635.0,-0.05247248287679861,-0.0873747001781071,0.9127763005147197,0.6852715328603769,1.2436733100513098,45.74923547400612,54.25076452599389,0.0,0.1
rdkit_fraction_csp3,"(0.1, 0.3]",1745.0,0.030808515146765518,0.005717159849713244,0.8000445454496634,0.5818749253841826,1.0824165596082347,50.31518624641834,49.684813753581665,0.1034482758620689,0.3
rdkit_fraction_csp3,"(0.3, 0.5]",1535.0,0.04321861533017133,0.028906469742650147,0.7939192013312237,0.6005567688724622,1.0486179695351452,51.14006514657981,48.85993485342019,0.3043478260869565,0.5
rdkit_fraction_csp3,"(0.5, 0.833]",1657.0,0.011914099893929643,-0.020563898417061507,0.7970178086103816,0.646246581371436,1.0333933516618707,49.06457453228727,50.93542546771273,0.5135135135135135,0.8333333333333334
rdkit_fraction_csp3,"(0.833, 1.0]",1588.0,-0.007140408136077024,-0.03262069019316563,0.857826448325794,0.6068522094653814,1.1682507477450856,48.99244332493703,51.00755667506297,0.8421052631578947,1.0
