uncertainty_region,compound_count,mean_prediction_sd,median_prediction_sd,mean_absolute_error,median_absolute_error,rmse,mean_residual
Lowest uncertainty,1854,0.033781814692614036,0.03511604373894724,0.7680064877738866,0.5996970413446503,1.0307238889348391,0.07668165932431925
Low-moderate uncertainty,1853,0.07498500022175755,0.07465195504609073,0.7684261490805407,0.5590351570069287,1.0600339692774805,0.027348199624473723
Moderate-high uncertainty,1854,0.12259782629784156,0.1199579115781482,0.7638632269079589,0.5729822084636849,1.0335338916744377,0.0020050885247144086
Highest uncertainty,1853,0.2849524304421924,0.22681278300435212,0.9551188280166206,0.7561631257248802,1.2734913665134364,-0.0672730798847414
