model,r2,rmse,mae,delta_r2_vs_m0
M0 (baseline),0.6753084677546337,1.3572881379025519,1.0535644427018542,0.0
"M3 (4-feature, crude aromatic count)",0.6947627487386805,1.315998333248629,1.0126902255251966,0.01945428098404678
"M3_fused (4-feature, fused-ring descriptor)",0.6974711520665704,1.3101468258919362,1.007474834762379,0.022162684311936687
"M4 (6-feature, crude aromatic count)",0.7012215471265921,1.3020006747099018,1.004922978044579,0.025913079371958414
"M4_fused (6-feature, fused-ring descriptor) — THE REAL TEST",0.7016116040089555,1.3011505126934482,1.0030513745412815,0.02630313625432179
