feature,region,compound_count,mean_absolute_error,mean_prediction_sd,high_error_pct,high_uncertainty_pct,high_error_high_uncertainty_pct,mean_residual
rdkit_molwt,"(10.811, 158.144]",2040,0.640281106006984,0.10176269442233332,14.65686274509804,19.362745098039216,3.2352941176470593,-0.08046440776554642
rdkit_molwt,"(158.144, 220.356]",2043,0.76361305125535,0.09277966443189971,21.9285364659814,17.08272148800783,3.9647577092511015,0.07024767650574945
rdkit_molwt,"(220.356, 300.266]",2038,0.8588642965185697,0.11545701753177313,27.036310107948967,24.435721295387637,8.341511285574093,0.05249533150996346
rdkit_molwt,"(300.266, 943.621]",2039,1.0659242323343059,0.1591200395443447,36.3903874448259,39.185875429131926,14.860225600784698,-0.021403863419976812
rdkit_mollogp,"(-8.424999999999999, 0.974]",2042,0.7833378996984929,0.10768083596383378,22.135161606268365,21.351616062683643,5.925563173359452,0.04793000451375134
rdkit_mollogp,"(0.974, 2.085]",2038,0.7306608442345831,0.09655850310306473,21.344455348380762,19.234543670264966,4.072620215897939,-0.031917024216286255
rdkit_mollogp,"(2.085, 3.378]",2040,0.8210589989187052,0.10289385875807396,23.333333333333332,20.098039215686274,5.0,0.020176619567548425
rdkit_mollogp,"(3.378, 12.169]",2040,0.9933317237621866,0.16192056136663635,33.18627450980392,39.36274509803921,15.392156862745098,-0.015330812950285983
rdkit_ring_count,"(-0.001, 1.0]",4850,0.7645704666290546,0.116446866220861,21.731958762886595,21.50515463917526,6.123711340206186,0.014279178771531965
rdkit_ring_count,"(1.0, 2.0]",1870,0.8249457738706115,0.09678785297341627,24.97326203208556,21.97860962566845,5.347593582887701,0.006969467789722647
rdkit_ring_count,"(2.0, 13.0]",1440,1.068892017857266,0.14661897721190223,36.041666666666664,40.763888888888886,15.48611111111111,-0.027482848920282757
rdkit_aromatic_rings,"(-0.001, 1.0]",5827,0.7732654608053092,0.1183771042256012,22.10399862708083,23.54556375493393,6.607173502660031,0.010328971925426566
rdkit_aromatic_rings,"(1.0, 2.0]",1773,0.902926306235459,0.10309373114890323,28.369994359842078,23.745064861816132,7.2758037225042305,-0.0018454446682903709
rdkit_aromatic_rings,"(2.0, 11.0]",560,1.2202030088132416,0.15057739601253567,44.46428571428571,44.285714285714285,18.928571428571427,-0.02536308330192415
rdkit_rotatable_bonds,"(-0.001, 1.0]",2482,0.7695356305831693,0.10950777471892052,21.67606768734891,22.72360999194198,6.60757453666398,-0.014018938352065578
rdkit_rotatable_bonds,"(1.0, 3.0]",2406,0.7446630245987029,0.099895672168803,19.201995012468828,20.781379883624275,4.655029093931837,-0.03042113297332835
rdkit_rotatable_bonds,"(3.0, 5.0]",1538,0.826138779707447,0.10217201785831748,26.59297789336801,21.001300390117038,6.371911573472041,0.03222779614431622
rdkit_rotatable_bonds,"(5.0, 36.0]",1734,1.048311274810532,0.1658616296770533,36.389850057670124,37.71626297577855,14.186851211072666,0.05832382919100386
rdkit_fraction_csp3,"(-0.001, 0.143]",2212,0.8730260539434687,0.10835090857818434,26.763110307414106,22.694394213381557,7.2784810126582276,-0.029233479797692856
rdkit_fraction_csp3,"(0.143, 0.4]",1915,0.8148397779832338,0.09467812738595041,24.02088772845953,19.425587467362924,5.691906005221932,0.02573171370568097
rdkit_fraction_csp3,"(0.4, 0.75]",2030,0.7981038307697296,0.10190742998969446,24.23645320197044,21.47783251231527,5.8128078817733995,0.03684743804646651
rdkit_fraction_csp3,"(0.75, 1.0]",2003,0.8379017890065027,0.1642730937685896,24.76285571642536,36.4952571143285,11.582626060908636,-0.008337720571495373
