novelty_region,compound_observations,unique_compounds,mean_nearest_training_distance,median_nearest_training_distance,mean_absolute_error,median_absolute_error,rmse
Lowest novelty,5718,2411,0.12820774440849922,0.14081758628566715,0.713854782071414,0.565349202019894,0.9401860880418338
Low-moderate novelty,5718,2554,0.29340318889293465,0.2909288886278782,0.8077747013826503,0.6073551069564648,1.0798915034200605
Moderate-high novelty,5718,2551,0.6199816680189381,0.5702916711614596,0.8398269981959813,0.6362993665184866,1.1305664985949724
Highest novelty,5718,2152,1.0745425312075187,0.975661649423145,0.9042340403727098,0.6625849367424184,1.2598852814938133
