region,n,mean_observed,mean_predicted,mean_residual,median_residual,mean_absolute_error,median_absolute_error,rmse,r2
< -6,2322,-7.48186394971882,-6.396836255311417,-1.0850276944074033,-0.8879827240256173,1.2190576470006793,0.9359169810834871,1.6277161529267548,-1.432101391010269
-6 to < -4,3959,-4.842449691114624,-4.466268506579704,-0.3761811845349209,-0.4022472004071407,0.8441919389639115,0.6930728091921656,1.10975688183844,-3.027559500573827
-4 to < -2,7989,-2.926815387875141,-2.881804779051214,-0.04501060882392675,-0.1343321484936606,0.7008177815820299,0.5552610046901703,0.9218043579830698,-1.7171225040643194
-2 to < 0,6652,-1.1625806431908148,-1.5449937715458333,0.3824131283550186,0.28534460779617354,0.7267079553339069,0.5472205603557072,0.9913523924414922,-2.1955742401898792
>= 0,1950,0.6656159069134358,-0.3588092272853813,1.024425134198817,0.8258168691452782,1.060264659637142,0.8261187844419946,1.3874453760974572,-12.357588999561886
